ID,desc::source,type,desc::subtitle,disturbance,desc::disturbancetype,continent,desc::country,position,desc::full name,topic,accentedness,video_url,desc::title,desc::pubdate,desc::notes,loc::lat,loc::lon,desc::multi-region accent
__PLEWMAP_CALIB__,"{""mode"": ""edges"", ""mercator"": false, ""locX"": ""loc::lon"", ""locY"": ""loc::lat"", ""L"": -180, ""R"": 180, ""T"": 90, ""B"": -90}",,,,,,,,,,,,,,,,,
1,dw news,news,no,yes,noise,asia,india,expert,vibha dhawan,business,strong,https://youtu.be/1F76txx29tA?t=114,"Rising prices, empty tanks: Energy shock dampens Asia's boom | DW News ",2026/5/22,https://youtu.be/1F76txx29tA?t=222,23.586300567746722,81.17300408530181,no
2,dw news,news,no,no,na,europe,germany,expert,frank malerius,business,medium,https://youtu.be/1F76txx29tA?t=312,"Rising prices, empty tanks: Energy shock dampens Asia's boom | DW News ",2026/5/22,,51.08304539800482,10.426171427430804,no
3,dw news,news,no,no,na,asia,indonesia,expert,putra adhiguna,business,medium,https://youtu.be/1F76txx29tA?t=422,"Rising prices, empty tanks: Energy shock dampens Asia's boom | DW News ",2026/5/22,,0.15591979959037652,113.96538246847302,no
4,dw news,news,no,no,na,asia,india,anchor,biresh banerjee,politics,medium,https://youtu.be/ge1YvfggCbQ?t=766,Will Asian and NATO allies secure the Strait of Hormuz? | DW News,2026/3/16,,23.586300567746722,81.17300408530181,no
5,dw news,news,no,yes,music,europe,ireland,reporter,arthur sullivan,business,medium,https://youtu.be/AVKbXdSOdD4?t=56,A united African economy: The impossible dream? | Business Beyond ,2025/3/15,,53.30489539816495,-8.241128545554096,no
6,dw news,news,no,no,na,africa,nigeria,reporter,flourish ubanyi,business,strong,https://youtu.be/AVKbXdSOdD4?t=215,A united African economy: The impossible dream? | Business Beyond ,2025/3/15,,9.61029352034213,8.147714845256194,no
7,dw news,news,no,no,na,africa,ghana?,expert,enoch randy aikins,business,strong,https://youtu.be/AVKbXdSOdD4?t=313,A united African economy: The impossible dream? | Business Beyond ,2025/3/15,,7.94530467243628,-1.219233362526581,no
8,dw news,news,no,yes,rev,africa,ghana?,expert,emmanuel owusu-sekyere,business,strong,https://youtu.be/AVKbXdSOdD4?&t=488,A united African economy: The impossible dream? | Business Beyond ,2025/3/15,,7.94530467243628,-1.219233362526581,no
9,dw africa,news,no,no,na,africa,zimbabwe?,expert,farai marapira,politics,strong,https://youtu.be/FpWNYnvBZ-k?t=169,DW News Africa with Tomi Oladipo ,2026/5/2,,-18.92700121981475,29.717829640720844,no
